"Close Business Day Now","Закрити бізнес день зараз"
"Advice acknowledged, financial liability accepted","Запит авторизований, фінансові зобов'язання схвалені"
"Decline reason message: invalid transaction","Зверніться до чергової служби: невірна операція"
"Status message: re-enter transaction","Зверніться до чергової служби: повторіть операцію"
"Decline reason message: format error","Зверніться до чергової служби: помилка формату даних"
"Decline reason message: acqiurer not supported by switch","Зверніться до чергової служби: помилка зв'язку з платіжною системою"
"Decline reason message: cutover in process","Зверніться до чергової служби: помилка зв'язку з платіжною системою"
"Decline reason message: card issuer or switch inoperative","Зверніться до чергової служби: помилка зв'язку з платіжною системою"
"Decline reason message: transaction destination cannot be found for routing","Зверніться до чергової служби: помилка зв'язку з платіжною системою"
"Decline reason message: system malfunction","Зверніться до чергової служби: системна помилка"
"Decline reason message: card issuer signed off","Зверніться до чергової служби: помилка зв'язку з платіжною системою"
"Decline reason message: card issuer timed out","Зверніться до чергової служби: емітент картки недоступний"
"Decline reason message: card issuer unavailable","Зверніться до чергової служби: емітент карти недоступний"
"Decline reason message: duplicate transmission","Зверніться до чергової служби: дубльована операція"
"Decline reason message: not able to trace back to original transaction","Зверніться до чергової служби: оригінальна операція не знайдено"
"Decline reason message: reconciliation cutover or checkpoint error","Обратитесь к дежурной службе: ошибка связи с платежной системой"
"Decline reason message: MAC incorrect","Зверніться до чергової служби: помилка MAC"
"Decline reason message: MAC key sync error","Зверніться до чергової служби: помилка MAC"
"Decline reason message: no communication keys available for use","Зверніться до чергової служби: помилка PIN-PAD"
"Decline reason message: encryption key sync error","Зверніться до чергової служби: помилка шифрування"
"Decline reason message: security software/hardware error - try again","Зверніться до чергової служби: помилка шифрування"
"Decline reason message: security software/hardware error - no action","Зверніться до чергової служби: помилка шифрування"
"Decline reason message: message number out of sequence","Зверніться до чергової служби: невірний номер повідомлення"
"Status message: request in progress","Зверніться до чергової служби: запит обробляється"
"Decline reason message: violation of business arrangement","Відмова: неприпустима операція"
"Approved","Успішно"
"Tried to go Online, not succeed, Approved in Offline","Спроба в онлайн не вдалася, схвалено офлайн"
"Allowed Ip Addresses","Дозволені Ip Адреси"
"Each address should be start from new line","Кожна адреса повинна починатися з нового рядка"
